segment_id,start_timestamp_ns,end_timestamp_ns,duration_sec,lever,sample_count,mean_roll_angle,mean_pitch_angle,mean_abs_yaw_rate,corr_roll_vs_abs_yaw,corr_pitch_vs_abs_yaw,ols_abs_yaw_intercept,ols_abs_yaw_roll_coef,ols_abs_yaw_pitch_coef,ols_abs_yaw_r2
1,1779769930696302888,1779769936676434129,5.980131241,0.10000000149011612,300,0.16342080682124158,-3.476520240568929,0.0005995024175470106,-0.020682287922250322,0.012866543761564979,0.0007702836859848555,-9.824678083341414e-05,4.450591095110038e-05,0.000542407045190707
2,1779769941736300126,1779769947716285746,5.97998562,0.20000000298023224,300,0.1493479486469324,-3.4932097623214635,0.0008072147790473774,0.0685331465840673,-0.09772421756941256,-0.004291497308475029,0.0009343978715443003,-0.0014196575698596234,0.014797463504560904
3,1779769952736228841,1779769972976216684,20.239987843,0.30000001192092896,1013,-0.08803536528297405,-3.495093963446037,0.007478328802312205,0.12484520279860069,-0.19560071269803586,-0.016782036073134048,0.0016449731851479795,-0.006982696587252514,0.06226089664207968
4,1779769977996051350,1779770036175593065,58.179541715,0.4000000059604645,2910,-2.289739086183763,-2.5510399250597704,0.01815441369685457,0.832333254858752,-0.8944320999498168,-0.02802347486157495,-0.0030071292729325107,-0.015402482234404047,0.8081033651541749
5,1779770041195364465,1779770099775228938,58.579864473,0.5,2930,-1.7056967660785782,1.5025842290554505,0.05292134826762936,0.8719818190690444,0.8317465388981784,0.05351057371742152,0.0038336313894853894,0.003959702956106728,0.8751779338134724
