segment_id,start_timestamp_ns,end_timestamp_ns,duration_sec,lever,sample_count,mean_roll_angle,mean_pitch_angle,mean_abs_yaw_rate,corr_roll_vs_abs_yaw,corr_pitch_vs_abs_yaw,ols_abs_yaw_intercept,ols_abs_yaw_roll_coef,ols_abs_yaw_pitch_coef,ols_abs_yaw_r2
1,1779767279613481879,1779767285653394927,6.039913048,0.10000000149011612,303,-5.498669445136508,-0.32394135830577786,0.000731720648654801,0.06969069059676972,0.004927404786406705,0.0012795050927167147,0.00010259370119002581,-5.045482929573568e-05,0.0048890736352436015
2,1779767290673852106,1779767296653775985,5.979923879,0.20000000298023224,300,-5.597110087200087,-0.30124394577656316,0.0007740353427464436,0.10590671699747428,-0.046636998253285156,0.007139377128260914,0.0011758850410501368,-0.0007177446789098491,0.014297593829585398
3,1779767301713291116,1779767307693213220,5.979922104,0.30000001192092896,299,-5.578895460211972,-0.3219460559585262,0.0007424216195251799,-0.035471697687717976,-0.11673848960208547,-0.0015403458552844065,-0.0003235257903544127,-0.0014842576975112485,0.014781331447297874
4,1779767312713358158,1779767318693276084,5.979917926,0.4000000059604645,300,-5.588798119755777,-0.32687003567572837,0.0007458555475319518,-0.011950388274752276,0.09546883775942079,-0.0009871172208829227,-0.0003722338859985061,0.0010627076080707793,0.010649042995077851
5,1779767323773098551,1779767384052700508,60.279601957,0.5,3015,-2.096981337196582,2.9288010299080045,0.05140454134716591,0.9639982756997553,0.546995001109535,0.05826274668314438,0.005871173920618557,0.001862037314008037,0.9457036257793059
6,1779767402212603210,1779767408252596509,6.039993299,0.10000000149011612,303,5.162148796985899,0.19221910150558055,0.0006516183882239556,0.07125719847307785,0.014242760254895463,2.800654083249026e-05,0.00012234973549829064,-4.1492715656810494e-05,0.00509180691865585
7,1779767413272309780,1779767443952249180,30.6799394,0.20000000298023224,1527,4.3608100649664046,-2.4563312646269475,0.030548351739190408,0.8018984831156247,0.6146795026988446,-0.13673565762408854,0.03313124591314992,-0.009284146258587284,0.7965174651465587
8,1779767449012155549,1779767502951610950,53.939455401,0.30000001192092896,2264,1.8480777725644424,-4.901822844885982,0.010306580221832819,0.5608186968695681,0.5046257288760004,-0.011010172263261368,0.0029869031567135622,-0.0032226222065225877,0.33206554170875746
9,1779767508011775502,1779767543991398629,35.979623127,0.4000000059604645,1798,-1.6363816313235076,-5.077773274320037,0.01913936320871163,0.7645595371781988,-0.8685556895187745,-0.12905827942971876,-0.00021239467242813517,-0.029117110180087048,0.7545395900189049
10,1779767549011154693,1779767637650488614,88.639333921,0.5,4429,-3.997926572155869,0.6566136052960412,0.03494254378774039,0.92023945600643,0.7380122438303145,0.05708301162780416,0.00580695791217054,0.0016376808091096724,0.9281113224445163
