segment_id,start_timestamp_ns,end_timestamp_ns,duration_sec,lever,sample_count,mean_roll_angle,mean_pitch_angle,mean_abs_yaw_rate,corr_roll_vs_abs_yaw,corr_pitch_vs_abs_yaw,ols_abs_yaw_intercept,ols_abs_yaw_roll_coef,ols_abs_yaw_pitch_coef,ols_abs_yaw_r2
1,1779770443600216431,1779770603479248140,159.879031709,0.4000000059604645,7547,0.0636347974612023,-0.8564325654387548,0.05836770361570696,0.7630514993864778,0.10638564857529159,0.05836388765866605,0.0026242500722131966,0.00019053183096599466,0.5849982327743594
2,1779770609599149128,1779770783077272499,173.478123371,0.5,8675,-1.1557926416938011,0.3238684034664335,0.05345635111251246,0.9246022041431833,0.2797279306000192,0.05893552875157246,0.005096589427112161,0.0012703397865525534,0.9049367225046787
3,1779770789237427296,1779770883376497001,94.139069705,0.6000000238418579,4708,0.1515275415388853,-0.5986461714721574,0.09809610919896787,0.6099639261008317,0.012304506286591065,0.09761125765988973,0.003130826740475156,-1.744780240398253e-05,0.3720673154623956
4,1779770889496599374,1779770946175735580,56.679136206,0.699999988079071,2835,-1.0766084801139926,0.03182236112744109,0.16239594174970406,0.41387946227665506,0.2483887339840016,0.16602591994317706,0.0034305341885819836,0.0019911786250478326,0.22776121262121762
5,1779770952295912280,1779770985015527381,32.719615101,0.800000011920929,1637,-0.011743520296494505,-0.7630065140441262,0.28049694041598733,0.07482324132947835,-0.2155586429176379,0.27799347869773405,0.001119453179601642,-0.003298278577007682,0.05088342527395284
6,1779770991135601161,1779771013175334368,22.039733207,0.8999999761581421,1103,-2.1333901365292767,-1.3937651564807212,0.41517274240859986,0.09577707444748518,0.16542463434138538,0.4319905637546491,0.003733633489607175,0.006351518004839975,0.038112064522969114
7,1779771019295324214,1779771039575229252,20.279905038,1.0,1015,-0.8226954530376935,-1.3368440894229228,0.4494204016458114,0.08219978070996573,-0.42393251419500577,0.43392476320793094,0.0010659716952946437,-0.012247208656720961,0.18058223015656005
