segment_id,start_timestamp_ns,end_timestamp_ns,duration_sec,lever,sample_count,mean_roll_angle,mean_pitch_angle,mean_abs_yaw_rate,corr_roll_vs_abs_yaw,corr_pitch_vs_abs_yaw,ols_abs_yaw_intercept,ols_abs_yaw_roll_coef,ols_abs_yaw_pitch_coef,ols_abs_yaw_r2
1,1779157004439643579,1779157005480059660,1.040416081,0.10000000149011612,53,3.7480773719416454,-2.599797021569982,0.0009544769346843989,-0.23135318697617022,0.09286219623763196,0.002133197818223907,-0.00047412320548426287,-0.0002301447264860601,0.056566763983426416
2,1779157010499819224,1779157029979655093,19.479835869,0.20000000298023224,975,2.8057369274691193,-3.6542970687383423,0.0283800605581501,0.6664937869891939,0.5131467615874984,-0.21946996075886402,0.04456273212230561,-0.03360939625386028,0.6361579642102386
3,1779157034999389357,1779157070479571157,35.4801818,0.30000001192092896,1775,1.0876313705929679,-4.571763855133568,0.010214093896695512,0.49934715873198815,0.3646468699946011,-0.04491524633789186,0.005625731115659874,-0.010720286555404987,0.30554356661568405
4,1779157075539171008,1779157098518977307,22.979806299,0.4000000059604645,1150,-0.8950435522957227,-4.650131373759812,0.0199746530188332,0.7025080609965755,-0.7349872655339929,-0.15734003197260207,0.005428964869011607,-0.03917606414757909,0.6038116495084964
5,1779157103539204774,1779157129918689331,26.379484557,0.5,1320,-2.901351965813761,-3.825864041360881,0.018504146833422126,0.6922839380375331,-0.7447985237696794,-0.20729866761641697,-0.018221838286631924,-0.04520151428451315,0.5951764515620955
6,1779157130038653952,1779157130718627333,0.679973381,0.10000000149011612,35,-3.5151817722702887,-3.218568226763737,0.0015544338650574497,-0.3570307275767842,0.668071282574968,0.001327242495407818,-0.008496428285210767,0.009208845790951981,0.5364437070226977
