segment_id,start_timestamp_ns,end_timestamp_ns,duration_sec,lever,sample_count,mean_roll_angle,mean_pitch_angle,mean_abs_yaw_rate,corr_roll_vs_abs_yaw,corr_pitch_vs_abs_yaw,ols_abs_yaw_intercept,ols_abs_yaw_roll_coef,ols_abs_yaw_pitch_coef,ols_abs_yaw_r2
1,1779768777729916960,1779768783750103721,6.020186761,0.4000000059604645,302,-3.1738357178012913,-0.794307888628994,0.0023812258058304257,-0.2788517055451623,-0.18303105475658776,-0.005692107882321169,-0.0023170656493548118,-0.0009056286359946297,0.07916795343782768
2,1779768788829761095,1779768948108492268,159.278731173,0.5,7965,-0.778218545376778,0.4284684045932724,0.05838435519357502,0.9174701887657328,0.23344845509649392,0.061755409232361905,0.004979324676239997,0.0011761631950283611,0.883688972314428
3,1779768954269361964,1779769047247884297,92.978522333,0.6000000238418579,4649,-0.10463173210043498,-0.757081512147066,0.09984773740235359,0.5653811847855185,0.027768732008935492,0.10022740062525505,0.0029871915071626315,8.864065535165019e-05,0.31991894827622036
4,1779769053368357104,1779769109567066058,56.198708954,0.699999988079071,2377,-0.8985331511216658,0.34757086201209364,0.16424885068195297,0.41223255556649924,0.1732159576472385,0.16745614127616482,0.004220559815804605,0.0016831742258081991,0.1933123424919072
5,1779769115687198851,1779769148447044474,32.759845623,0.800000011920929,1636,-0.2537429468059407,-1.105598354000643,0.2822089584253847,-0.03956981945615242,-0.16720932632682123,0.27881985868648057,-0.0007246521282444083,-0.0028990856949776982,0.029514544333965165
6,1779769154626745583,1779769176706479178,22.079733595,0.8999999761581421,1105,-1.9687773699241944,-0.9775464013810724,0.4181433266861907,0.2756261976646314,0.04265951602533017,0.4407284133572382,0.010181846291022376,0.002597624118557103,0.08033573472951872
7,1779769182826791387,1779769203246283402,20.419492015,1.0,1022,-0.9722088315683222,-1.897720485875552,0.4498324112810783,-0.14156849915506514,-0.36181805358414926,0.4222063830584847,-0.005529815891829692,-0.011724536116468306,0.15156318047421213
