time_sec,psi_deg,target_psi_deg,angle_error_deg,omega_rad_s,u_cmd,roll_deg,pitch_deg,body_roll_deg,body_pitch_deg,moment_nm,horizon,mpc_cost,q_angle,q_terminal,q_omega,r_u,r_du,settled
0.1,0.07136318568653931,90.0,89.92863681431346,0.012455225549422008,0.06,7.0,0.0,7.0,0.0,-5461.499082374406,38.0,545.7688417075921,8.72819987764992,152.76899449424644,1.0912799510599684,0.0327307495411872,4.092299816474881,0
0.2,0.21408469133156183,90.0,89.78591530866844,0.024909601869093162,0.12,6.999994543181203,0.008762295085313303,7.0,0.0,-5461.144581861301,38.0,514.1227505499286,8.72815261091484,152.7668674911678,1.091261044365936,0.03273057229093065,4.09222891637226,0
0.30000000000000004,0.42815182988054584,90.0,89.57184817011945,0.037361763880026475,0.18,6.999950890916247,0.026286231811822113,7.0,0.0,-5460.410191060688,38.0,483.45933354211564,8.728054692141425,152.7624611463641,1.0912218768565702,0.032730205095530346,4.092082038212138,0
0.4,0.7135426999353343,90.0,89.28645730006467,0.04981010337587348,0.24,6.999803580486949,0.05256993042012734,7.0,0.0,-5459.245164709403,38.0,454.0725969676931,8.727899355294587,152.7554709882564,1.0911597421178347,0.0327296225823547,4.09184903294188,0
0.5,1.0702239244813476,90.0,88.92977607551865,0.06225261748373151,0.3,6.999454461756325,0.0876096941535045,7.0,0.0,-5457.573454275507,38.0,426.2479641830204,8.727676460570068,152.74544072565303,1.091070584228027,0.032728786727137756,4.091514690855101,0
0.6000000000000001,1.4981475250652778,90.0,88.50185247493472,0.0746867577717871,0.36,6.998772766376187,0.13139910303642757,7.0,0.0,-5455.293797962897,38.0,403.90530401958404,8.727372506395053,152.73176278777737,1.0909490025580213,0.032727646898981444,4.091058759592579,0
0.7000000000000001,1.9988448049497163,90.0,88.00115519505029,0.08738816089763021,0.42,6.997595225085963,0.18392779400140502,7.0,0.0,-5452.279860314109,38.0,382.3757532150082,8.726970648041881,152.71367916188464,1.0907882592167526,0.03272613993015705,4.090455972062822,0
0.8,2.5754528608623177,90.0,87.42454713913769,0.10063709069198448,0.48,6.995719413810484,0.2453760011834853,7.0,0.0,-5448.3672893155945,37.0,357.5442197739945,8.726448971908745,152.6902037358936,1.0905795887634984,0.03272418364465779,4.089673457863119,0
0.9,3.2494572465089546,90.0,86.75054275349105,0.11763595702415425,0.54,6.9928940538453945,0.3161161620022152,7.0,0.0,-5443.346120339837,37.0,343.18929872748276,8.725779482711978,152.660076722039,1.0903117930847912,0.03272167306016992,4.088669224067967,0
1.0,4.031603130786666,90.0,85.96839686921334,0.13651020911568632,0.6000000000000001,6.988689257452811,0.398762892354789,7.0,0.0,-5436.7780949753715,37.0,324.4507375665129,8.724903745996716,152.62066856985223,1.0899614983986865,0.03271838904748769,4.087355618995074,0
