timestamp_ns,lever,yaw_rate,roll_angle,pitch_angle
1779770365785931911,0.0,,,
1779770365835771332,0.0,,,
1779770365885697756,0.0,,,
1779770365936052448,0.0,,,
1779770365985851106,0.0,,,
1779770366035860733,0.0,,,
1779770366086287603,0.0,,,
1779770366135734539,0.0,,,
1779770366186090108,0.0,,,
1779770366236043348,0.0,,,
1779770366285979652,0.0,,,
1779770366335816893,0.0,,,
1779770366385675405,0.0,,,
1779770366435674800,0.0,,,
1779770366485660537,0.0,,,
1779770366535823738,0.0,,,
1779770366562440034,,-0.000272707695624114,,
1779770366580743176,,-0.000272707695624114,,
1779770366585889748,0.0,,,
1779770366601212572,,0.0008181230868723419,,
1779770366621128544,,-0.00040906154343617096,,
1779770366636104337,0.0,,,
1779770366640884304,,0.000136353847812057,,
1779770366660734390,,-0.000136353847812057,,
1779770366680784796,,0.0,,
1779770366685743783,0.0,,,
1779770366700975293,,-0.00040906154343617096,,
1779770366721104523,,-0.00040906154343617096,,
1779770366735990364,0.0,,,
1779770366740954976,,-0.00040906154343617096,,
1779770366760945003,,0.00040906154343617096,,
1779770366780953929,,0.000545415391248228,,
1779770366785762361,0.0,,,
1779770366800888014,,0.000681769239060285,,
1779770366820842068,,0.000272707695624114,,
1779770366837113203,0.0,,,
1779770366840994563,,-0.00136353847812057,,
1779770366860870016,,-0.000681769239060285,,
1779770366880935798,,-0.000681769239060285,,
1779770366885923892,0.0,,,
1779770366900906493,,0.0008181230868723419,,
1779770366920861274,,0.000272707695624114,,
1779770366935720129,0.0,,,
1779770366940687543,,-0.000681769239060285,,
1779770366960954735,,0.000272707695624114,,
1779770366981299467,,-0.000136353847812057,,
1779770366986120547,0.0,,,
1779770367001254110,,0.000136353847812057,,
1779770367020896752,,-0.000545415391248228,,
1779770367035956403,0.0,,,
1779770367040857014,,0.001227184630308513,,
1779770367060775435,,0.0,,
1779770367080893275,,-0.000545415391248228,,
1779770367085801741,0.0,,,
1779770367101203549,,0.0,,
1779770367121002407,,-0.001227184630308513,,
1779770367135968039,0.0,,,
1779770367141080706,,0.0,,
1779770367160820225,,0.0,,
1779770367180978352,,-0.00040906154343617096,,
1779770367185931716,0.0,,,
1779770367200745256,,0.000136353847812057,,
1779770367221056496,,0.00136353847812057,,
1779770367235755526,0.0,,,
1779770367241200445,,-0.000272707695624114,,
1779770367260894943,,-0.000136353847812057,,
1779770367282046251,,0.000545415391248228,,
1779770367285898294,0.0,,,
1779770367300893941,,-0.000545415391248228,,
1779770367320757930,,-0.00040906154343617096,,
1779770367335907965,0.0,,,
1779770367340858389,,0.0,,
1779770367360769780,,-0.0014998923259326269,,
1779770367380744081,,-0.000272707695624114,,
1779770367385787362,0.0,,,
1779770367400937797,,-0.000681769239060285,,
1779770367421025007,,0.0,,
1779770367436070668,0.0,,,
1779770367441030473,,-0.000136353847812057,,
1779770367460929047,,-0.000272707695624114,,
1779770367480881774,,0.0,,
1779770367485950980,0.0,,,
1779770367500898699,,-0.000272707695624114,,
1779770367520889019,,0.000136353847812057,,
1779770367536152627,0.0,,,
1779770367540961319,,-0.000681769239060285,,
1779770367560851776,,-0.0008181230868723419,,
1779770367580803710,,0.000545415391248228,,
1779770367585881728,0.0,,,
1779770367601577115,,-0.000136353847812057,,
1779770367620968776,,0.000136353847812057,,
1779770367635701185,0.0,,,
1779770367640841335,,-0.000272707695624114,,
1779770367661014405,,0.000136353847812057,,
1779770367680906739,,0.00040906154343617096,,
1779770367685978420,0.0,,,
1779770367700900840,,-0.000136353847812057,,
1779770367721024299,,0.0,,
1779770367736031219,0.0,,,
1779770367741021537,,0.000681769239060285,,
1779770367760870172,,-0.00040906154343617096,,
1779770367780729019,,0.000681769239060285,,
1779770367785666177,0.0,,,
1779770367800893694,,-0.000545415391248228,,
1779770367820896797,,-0.000681769239060285,,
1779770367835904617,0.0,,,
1779770367840943382,,-0.000272707695624114,,
1779770367860957706,,-0.000136353847812057,,
1779770367880753007,,0.000545415391248228,,
1779770367885922956,0.0,,,
1779770367900888316,,-0.000545415391248228,,
1779770367920742940,,-0.000136353847812057,,
1779770367935763703,0.0,,,
1779770367941045430,,0.0,,
1779770367960869254,,-0.000136353847812057,,
1779770367981080354,,-0.000272707695624114,,
1779770367985885253,0.0,,,
1779770368000949539,,-0.000545415391248228,,
1779770368020863512,,-0.000954476934684399,,
1779770368035679795,0.0,,,
1779770368040785748,,0.000136353847812057,,
1779770368060805372,,0.00040906154343617096,,
1779770368080993625,,-0.00136353847812057,,
1779770368086123577,0.0,,,
1779770368100969318,,-0.000272707695624114,,
1779770368121122120,,0.000272707695624114,,
1779770368135993927,0.0,,,
1779770368140934078,,-0.000272707695624114,,
1779770368160740039,,-0.000681769239060285,,
1779770368180759343,,0.000272707695624114,,
1779770368185742281,0.0,,,
1779770368201011359,,-0.00040906154343617096,,
1779770368221164123,,0.000545415391248228,,
1779770368236299311,0.0,,,
1779770368241068209,,-0.000136353847812057,,
1779770368260966979,,0.000272707695624114,,
1779770368280828767,,0.000681769239060285,,
1779770368285807536,0.0,,,
1779770368300832448,,-0.000681769239060285,,
1779770368320917133,,0.00040906154343617096,,
1779770368335861321,0.0,,,
1779770368340811950,,0.0,,
1779770368361218124,,0.000681769239060285,,
1779770368380999287,,0.001090830782496456,,
1779770368386149614,0.0,,,
1779770368401630059,,-0.00040906154343617096,,
1779770368420896476,,-0.000545415391248228,,
1779770368435817076,0.0,,,
1779770368440883879,,-0.001227184630308513,,
1779770368460731281,,-0.000545415391248228,,
1779770368481015807,,-0.000545415391248228,,
1779770368485900233,0.0,,,
1779770368501285611,,-0.000545415391248228,,
1779770368520866506,,0.00136353847812057,,
1779770368536024140,0.0,,,
1779770368540961411,,0.001090830782496456,,
1779770368560950746,,0.000136353847812057,,
1779770368580741707,,-0.0008181230868723419,,
1779770368585678186,0.0,,,
1779770368600810211,,-0.00040906154343617096,,
1779770368620999528,,0.000272707695624114,,
1779770368635994637,0.0,,,
1779770368641234543,,-0.000136353847812057,,
1779770368660912552,,0.000545415391248228,,
1779770368681486086,,0.000954476934684399,,
1779770368685818419,0.0,,,
1779770368700809294,,0.000545415391248228,,
1779770368720730934,,0.0008181230868723419,,
1779770368735901428,0.0,,,
1779770368741170778,,-0.000681769239060285,,
1779770368760972194,,0.0,,
1779770368781005499,,0.000136353847812057,,
1779770368785936625,0.0,,,
1779770368801569931,,-0.000681769239060285,,
1779770368820811735,,-0.000272707695624114,,
1779770368835761557,0.0,,,
1779770368840814223,,-0.001227184630308513,,
1779770368860964301,,-0.00136353847812057,,
1779770368880828163,,0.000272707695624114,,
1779770368885837574,0.0,,,
1779770368900956834,,-0.000545415391248228,,
1779770368921119939,,-0.000681769239060285,,
1779770368935926103,0.0,,,
1779770368940994545,,-0.000272707695624114,,
1779770368960796810,,-0.00040906154343617096,,
1779770368980799465,,0.0,,
1779770368985770816,0.0,,,
1779770369000911093,,0.000272707695624114,,
1779770369021064550,,-0.000136353847812057,,
1779770369036021686,0.0,,,
1779770369041043728,,0.000136353847812057,,
1779770369060797192,,-0.000272707695624114,,
1779770369080866279,,0.000545415391248228,,
1779770369085822077,0.0,,,
1779770369100731491,,0.000272707695624114,,
1779770369120814272,,-0.000136353847812057,,
1779770369135943718,0.0,,,
1779770369140979276,,-0.000136353847812057,,
1779770369160947687,,0.00040906154343617096,,
1779770369181317205,,0.0008181230868723419,,
1779770369186105581,0.0,,,
1779770369200906197,,0.000272707695624114,,
1779770369221009107,,-0.000136353847812057,,
1779770369235701730,0.0,,,
1779770369240710173,,0.000272707695624114,,
1779770369260947491,,0.0,,
1779770369281143220,,0.000136353847812057,,
1779770369286081767,0.0,,,
1779770369300970317,,-0.000136353847812057,,
1779770369321097493,,0.00040906154343617096,,
1779770369335987211,0.0,,,
1779770369341017404,,-0.000272707695624114,,
1779770369360756707,,-0.00040906154343617096,,
1779770369380805840,,0.000136353847812057,,
1779770369385749338,0.0,,,
1779770369400840133,,-0.000681769239060285,,
1779770369421375128,,-0.000681769239060285,,
1779770369435931357,0.0,,,
1779770369441136573,,-0.000272707695624114,,
1779770369461061982,,0.000136353847812057,,
1779770369480787121,,-0.000136353847812057,,
1779770369485686323,0.0,,,
1779770369500756556,,-0.000136353847812057,,
1779770369521334472,,-0.000136353847812057,,
1779770369535980860,0.0,,,
1779770369540794555,,0.0,,
1779770369561055168,,0.0,,
1779770369581136321,,0.0,,
1779770369585950672,0.0,,,
1779770369600895412,,-0.00040906154343617096,,
1779770369620822179,,-0.0008181230868723419,,
1779770369635702720,0.0,,,
1779770369640767527,,-0.000681769239060285,,
1779770369660773033,,-0.000136353847812057,,
1779770369680828835,,0.000545415391248228,,
1779770369685863458,0.0,,,
1779770369701201527,,-0.000136353847812057,,
1779770369721240337,,-0.000954476934684399,,
1779770369735694969,0.0,,,
1779770369740720602,,-0.000681769239060285,,
1779770369760743949,,0.000272707695624114,,
1779770369780803839,,-0.000272707695624114,,
1779770369786187636,0.0,,,
1779770369801131228,,-0.000681769239060285,,
1779770369820939347,,-0.000681769239060285,,
1779770369836433272,0.0,,,
1779770369841138596,,-0.000272707695624114,,
1779770369860782757,,-0.000136353847812057,,
1779770369880749611,,0.0,,
1779770369885859532,0.0,,,
1779770369900869476,,-0.000272707695624114,,
1779770369921166963,,0.00040906154343617096,,
1779770369935878838,0.0,,,
1779770369940933756,,-0.0008181230868723419,,
1779770369960754336,,-0.000681769239060285,,
1779770369980726569,,0.0,,
1779770369985695057,0.0,,,
1779770370000763950,,0.000545415391248228,,
1779770370020753143,,-0.000272707695624114,,
1779770370036175182,0.0,,,
1779770370041253752,,0.000136353847812057,,
1779770370060922238,,0.000954476934684399,,
1779770370080825552,,0.0008181230868723419,,
1779770370085832826,0.0,,,
1779770370100842564,,0.000272707695624114,,
1779770370120868520,,-0.000954476934684399,,
1779770370135718696,0.0,,,
1779770370140748615,,0.001090830782496456,,
1779770370160841038,,0.000272707695624114,,
1779770370180836980,,-0.000545415391248228,,
1779770370185945872,0.0,,,
1779770370200743279,,-0.000545415391248228,,
1779770370220969812,,-0.000681769239060285,,
1779770370236507126,0.0,,,
1779770370241101597,,-0.000545415391248228,,
1779770370260837458,,-0.000136353847812057,,
1779770370280810626,,0.001227184630308513,,
1779770370285787298,0.0,,,
1779770370301033404,,0.0,,
1779770370321336692,,-0.000272707695624114,,
1779770370336051379,0.0,,,
1779770370341540492,,-0.000272707695624114,,
1779770370360985592,,0.000136353847812057,,
1779770370380867184,,-0.000136353847812057,,
1779770370385960899,0.0,,,
1779770370400707315,,-0.000272707695624114,,
1779770370420749364,,-0.000954476934684399,,
1779770370435878914,0.0,,,
1779770370441251532,,-0.000954476934684399,,
1779770370461139630,,0.000272707695624114,,
1779770370480970918,,-0.000272707695624114,,
1779770370486062408,0.0,,,
1779770370501067781,,-0.000681769239060285,,
1779770370520900905,,0.0,,
1779770370535763000,0.0,,,
1779770370540797849,,0.000545415391248228,,
1779770370560729355,,0.00040906154343617096,,
1779770370580857688,,0.000272707695624114,,
1779770370585849624,0.0,,,
1779770370601025919,,0.000272707695624114,,
1779770370621095035,,0.000272707695624114,,
1779770370636105735,0.0,,,
1779770370640936153,,0.000272707695624114,,
1779770370660808289,,0.000272707695624114,,
1779770370680703605,,0.000545415391248228,,
1779770370685704010,0.0,,,
1779770370700916053,,0.0,,
1779770370721057157,,-0.00040906154343617096,,
1779770370735864558,0.0,,,
1779770370740923339,,-0.00040906154343617096,,
1779770370761047429,,0.000136353847812057,,
1779770370780873036,,0.0,,
1779770370785863133,0.0,,,
1779770370801204636,,-0.000272707695624114,,
1779770370820897583,,0.000272707695624114,,
1779770370835742566,0.0,,,
1779770370840788363,,0.000272707695624114,,
1779770370860902472,,-0.000954476934684399,,
1779770370880974406,,0.001227184630308513,,
1779770370885867546,0.0,,,
1779770370901181506,,0.000681769239060285,,
1779770370920817170,,-0.000545415391248228,,
1779770370935963916,0.0,,,
1779770370941094407,,0.000136353847812057,,
1779770370960834049,,0.000545415391248228,,
1779770370980784534,,0.0,,
1779770370985696247,0.0,,,
1779770371001159769,,-0.000681769239060285,,
1779770371020884273,,-0.000272707695624114,,
1779770371036112183,0.0,,,
1779770371041317905,,0.000136353847812057,,
1779770371060985537,,-0.000545415391248228,,
1779770371080927838,,0.000136353847812057,,
1779770371086175068,0.0,,,
1779770371100774423,,-0.00040906154343617096,,
1779770371120722764,,0.000272707695624114,,
1779770371136477015,0.0,,,
1779770371141271821,,0.000136353847812057,,
1779770371161116918,,0.001090830782496456,,
1779770371181658972,,0.00040906154343617096,,
1779770371185998943,0.0,,,
1779770371200783562,,0.000272707695624114,,
1779770371220913075,,-0.00040906154343617096,,
1779770371235855929,0.0,,,
1779770371240716230,,0.000136353847812057,,
1779770371261026583,,-0.001227184630308513,,
1779770371280980883,,-0.000272707695624114,,
1779770371285905249,0.0,,,
1779770371300878521,,-0.001227184630308513,,
1779770371320908418,,0.000681769239060285,,
1779770371336097105,0.0,,,
1779770371341182280,,0.000136353847812057,,
1779770371360922027,,0.000681769239060285,,
1779770371380847001,,-0.000136353847812057,,
1779770371385802120,0.0,,,
1779770371400953792,,0.000681769239060285,,
1779770371421197327,,0.00040906154343617096,,
1779770371435811011,0.0,,,
1779770371441002775,,0.000136353847812057,,
1779770371460928897,,0.00040906154343617096,,
1779770371480869335,,0.00040906154343617096,,
1779770371486191628,0.0,,,
1779770371500848780,,0.00040906154343617096,,
1779770371520765545,,-0.000136353847812057,,
1779770371536965249,0.0,,,
1779770371540832075,,0.000136353847812057,,
1779770371561072891,,-0.000545415391248228,,
1779770371580913129,,0.000545415391248228,,
1779770371585992393,0.0,,,
1779770371600987251,,-0.001090830782496456,,
1779770371621123588,,-0.00040906154343617096,,
1779770371635822602,0.0,,,
1779770371640745908,,0.00040906154343617096,,
1779770371660811407,,-0.00040906154343617096,,
1779770371680909215,,0.000545415391248228,,
1779770371685792892,0.0,,,
1779770371701104266,,0.000272707695624114,,
1779770371721011233,,-0.000681769239060285,,
1779770371736000590,0.0,,,
1779770371741270746,,-0.0008181230868723419,,
1779770371760979594,,0.000136353847812057,,
1779770371780741813,,-0.000272707695624114,,
1779770371785688034,0.0,,,
1779770371801068373,,0.000136353847812057,,
1779770371820895202,,0.00040906154343617096,,
1779770371836745277,0.0,,,
1779770371840948161,,-0.000545415391248228,,
1779770371861156670,,-0.000545415391248228,,
1779770371880752336,,-0.000272707695624114,,
1779770371885818696,0.0,,,
1779770371900735930,,0.000272707695624114,,
1779770371920721353,,-0.00040906154343617096,,
1779770371935813988,0.0,,,
1779770371940907322,,-0.000136353847812057,,
1779770371960728141,,-0.000954476934684399,,
1779770371980780341,,-0.0008181230868723419,,
1779770371985934641,0.0,,,
1779770372000967875,,-0.000272707695624114,,
1779770372020880486,,-0.00040906154343617096,,
1779770372035878619,0.0,,,
1779770372040711792,,-0.00040906154343617096,,
1779770372060808339,,-0.00136353847812057,,
1779770372080974801,,-0.001090830782496456,,
1779770372085884414,0.0,,,
1779770372100976470,,0.000681769239060285,,
1779770372120793090,,0.000272707695624114,,
1779770372136015274,0.0,,,
1779770372140929431,,0.000136353847812057,,
1779770372160811117,,0.0,,
1779770372180747448,,-0.001227184630308513,,
1779770372185961100,0.0,,,
1779770372200881718,,-0.000545415391248228,,
1779770372221126777,,-0.000545415391248228,,
