timestamp_ns,lever,yaw_rate,roll_angle,pitch_angle
1779769894577393961,0.0,,,
1779769894577476656,0.0,,,
1779769894577553648,0.0,,,
1779769894581911821,0.0,,,
1779769894632031778,0.0,,,
1779769894681961199,0.0,,,
1779769894732009703,0.0,,,
1779769894782058448,0.0,,,
1779769894831940070,0.0,,,
1779769894882121752,0.0,,,
1779769894932473566,0.0,,,
1779769894982006829,0.0,,,
1779769895032006133,0.0,,,
1779769895082189073,0.0,,,
1779769895132002164,0.0,,,
1779769895181802955,0.0,,,
1779769895231931454,0.0,,,
1779769895281846514,0.0,,,
1779769895332017308,0.0,,,
1779769895382035833,0.0,,,
1779769895432108359,0.0,,,
1779769895481876599,0.0,,,
1779769895532248325,0.0,,,
1779769895581902167,0.0,,,
1779769895632255559,0.0,,,
1779769895682385477,0.0,,,
1779769895732142969,0.0,,,
1779769895748655111,,-0.000272707695624114,,
1779769895757057075,,-0.000545415391248228,,
1779769895776807280,,-0.000681769239060285,,
1779769895781910750,0.0,,,
1779769895796740663,,0.000272707695624114,,
1779769895816681124,,-0.000136353847812057,,
1779769895832093781,0.0,,,
1779769895836799160,,-0.000681769239060285,,
1779769895857096876,,0.0,,
1779769895876656889,,0.0,,
1779769895881949858,0.0,,,
1779769895896685966,,-0.00040906154343617096,,
1779769895917006324,,0.000136353847812057,,
1779769895932459051,0.0,,,
1779769895936790902,,-0.000545415391248228,,
1779769895957342970,,-0.00136353847812057,,
1779769895976892365,,0.0014998923259326269,,
1779769895982316344,0.0,,,
1779769895996730161,,-0.000136353847812057,,
1779769896016637815,,-0.00040906154343617096,,
1779769896031892628,0.0,,,
1779769896036647762,,-0.00040906154343617096,,
1779769896056876827,,-0.000545415391248228,,
1779769896077097481,,0.0,,
1779769896082155914,0.0,,,
1779769896097199320,,0.0008181230868723419,,
1779769896116879387,,0.0,,
1779769896131958086,0.0,,,
1779769896136633562,,-0.00040906154343617096,,
1779769896156610929,,-0.000136353847812057,,
1779769896176734803,,-0.000272707695624114,,
1779769896182019555,0.0,,,
1779769896196774856,,0.00040906154343617096,,
1779769896216848278,,-0.001090830782496456,,
1779769896231971852,0.0,,,
1779769896237315290,,-0.000136353847812057,,
1779769896256905154,,-0.000954476934684399,,
1779769896276584310,,-0.000136353847812057,,
1779769896281959646,0.0,,,
1779769896296591440,,-0.000954476934684399,,
1779769896316714271,,0.000136353847812057,,
1779769896331988374,0.0,,,
1779769896336826443,,0.00040906154343617096,,
1779769896356992831,,-0.000545415391248228,,
1779769896377111247,,0.000136353847812057,,
1779769896381933548,0.0,,,
1779769896397037909,,0.00040906154343617096,,
1779769896416629053,,0.000545415391248228,,
1779769896431838656,0.0,,,
1779769896436786009,,0.00040906154343617096,,
1779769896457115240,,0.001090830782496456,,
1779769896476905613,,0.0,,
1779769896481938311,0.0,,,
1779769896496703779,,0.00040906154343617096,,
1779769896516841216,,-0.000681769239060285,,
1779769896531910799,0.0,,,
1779769896536655760,,-0.000545415391248228,,
1779769896556632769,,-0.000545415391248228,,
1779769896576620161,,0.000545415391248228,,
1779769896581813533,0.0,,,
1779769896596693953,,-0.000545415391248228,,
1779769896616814378,,-0.00040906154343617096,,
1779769896632156420,0.0,,,
1779769896636838171,,-0.000954476934684399,,
1779769896657131666,,-0.000954476934684399,,
1779769896676707190,,0.000136353847812057,,
1779769896681891007,0.0,,,
1779769896696611561,,0.000272707695624114,,
1779769896716641487,,0.000136353847812057,,
1779769896731934167,0.0,,,
1779769896736861731,,-0.000272707695624114,,
1779769896756932609,,-0.00040906154343617096,,
1779769896776962170,,-0.00040906154343617096,,
1779769896782152886,0.0,,,
1779769896796721727,,-0.001227184630308513,,
1779769896816727295,,0.000272707695624114,,
1779769896832601392,0.0,,,
1779769896837187519,,-0.0016362461737446838,,
1779769896856622117,,0.0008181230868723419,,
1779769896876672553,,0.000545415391248228,,
1779769896881895101,0.0,,,
1779769896896613468,,0.000136353847812057,,
1779769896916686886,,0.001227184630308513,,
1779769896931985836,0.0,,,
1779769896936764409,,-0.000272707695624114,,
1779769896957031314,,0.00040906154343617096,,
1779769896976689081,,0.000272707695624114,,
1779769896981891459,0.0,,,
1779769896996684337,,0.000272707695624114,,
1779769897016565998,,0.000272707695624114,,
1779769897032600950,0.0,,,
1779769897036777767,,0.000136353847812057,,
1779769897056955414,,0.00040906154343617096,,
1779769897076887354,,-0.00040906154343617096,,
1779769897081951758,0.0,,,
1779769897096914371,,0.00040906154343617096,,
1779769897116673420,,-0.0008181230868723419,,
1779769897131826583,0.0,,,
1779769897136593751,,-0.000545415391248228,,
1779769897156613704,,-0.001090830782496456,,
1779769897176818860,,-0.000272707695624114,,
1779769897182357616,0.0,,,
1779769897197003973,,-0.000272707695624114,,
1779769897216751232,,0.000681769239060285,,
1779769897232328768,0.0,,,
1779769897236806032,,0.0,,
1779769897256696046,,0.000272707695624114,,
1779769897276745469,,-0.000545415391248228,,
1779769897281831964,0.0,,,
1779769897296812265,,-0.000272707695624114,,
1779769897316849118,,0.0,,
1779769897332248331,0.0,,,
1779769897337001650,,-0.0008181230868723419,,
1779769897356984542,,-0.000681769239060285,,
1779769897376853616,,-0.00136353847812057,,
1779769897381984605,0.0,,,
1779769897396640026,,-0.000681769239060285,,
1779769897416648539,,-0.001227184630308513,,
1779769897432100598,0.0,,,
1779769897437118063,,0.000681769239060285,,
1779769897457427437,,0.00040906154343617096,,
1779769897476788010,,-0.000272707695624114,,
1779769897482064785,0.0,,,
1779769897496818837,,-0.000272707695624114,,
1779769897516718339,,-0.000681769239060285,,
1779769897531844830,0.0,,,
1779769897536631116,,0.0,,
1779769897556912987,,0.0,,
1779769897576744811,,-0.000681769239060285,,
1779769897582046129,0.0,,,
1779769897596939775,,-0.000136353847812057,,
1779769897616765379,,-0.000136353847812057,,
1779769897632050496,0.0,,,
1779769897636736448,,-0.000954476934684399,,
1779769897656582559,,-0.00040906154343617096,,
1779769897676648806,,0.000136353847812057,,
1779769897681909190,0.0,,,
1779769897696854844,,-0.0008181230868723419,,
1779769897716903301,,-0.00040906154343617096,,
1779769897732041688,0.0,,,
1779769897736723610,,0.00040906154343617096,,
1779769897756936569,,0.000681769239060285,,
1779769897776686761,,0.000681769239060285,,
1779769897781872656,0.0,,,
1779769897796591896,,-0.0016362461737446838,,
1779769897816776643,,-0.000272707695624114,,
1779769897832011520,0.0,,,
1779769897836771409,,-0.000954476934684399,,
1779769897856990921,,-0.000954476934684399,,
1779769897876871663,,0.001090830782496456,,
1779769897882099612,0.0,,,
1779769897896917937,,0.000136353847812057,,
1779769897916686635,,0.0008181230868723419,,
1779769897931819524,0.0,,,
1779769897936610470,,-0.00040906154343617096,,
1779769897956673101,,-0.001090830782496456,,
1779769897976789282,,0.000136353847812057,,
1779769897981968400,0.0,,,
1779769897996706613,,0.000136353847812057,,
1779769898016627296,,-0.00040906154343617096,,
1779769898032029320,0.0,,,
1779769898036780596,,0.000545415391248228,,
1779769898056591493,,-0.000545415391248228,,
1779769898076619397,,-0.000545415391248228,,
1779769898081898652,0.0,,,
1779769898096786882,,-0.001227184630308513,,
1779769898116810931,,-0.000136353847812057,,
1779769898132280299,0.0,,,
1779769898136818668,,-0.001090830782496456,,
1779769898156797472,,-0.000954476934684399,,
1779769898176633831,,-0.000136353847812057,,
1779769898181782955,0.0,,,
1779769898196582223,,-0.000681769239060285,,
1779769898216837042,,0.000954476934684399,,
1779769898232287463,0.0,,,
1779769898236826342,,0.000136353847812057,,
1779769898256995180,,0.000954476934684399,,
1779769898277085185,,0.000954476934684399,,
1779769898282040165,0.0,,,
1779769898297118340,,-0.000954476934684399,,
1779769898316558798,,-0.000272707695624114,,
1779769898331940550,0.0,,,
1779769898336691442,,-0.0008181230868723419,,
1779769898356786176,,0.000272707695624114,,
1779769898376761498,,-0.001227184630308513,,
1779769898381955079,0.0,,,
1779769898397070063,,-0.000681769239060285,,
1779769898417112600,,-0.00040906154343617096,,
1779769898431975173,0.0,,,
1779769898436981203,,0.0,,
1779769898456539929,,0.000545415391248228,,
1779769898476695698,,-0.001090830782496456,,
1779769898481954240,0.0,,,
1779769898496771173,,-0.000545415391248228,,
1779769898516899401,,-0.00040906154343617096,,
1779769898532094060,0.0,,,
1779769898536731040,,-0.000136353847812057,,
1779769898556851868,,0.000136353847812057,,
1779769898576625240,,-0.000954476934684399,,
1779769898581816703,0.0,,,
1779769898596499446,,0.000545415391248228,,
