timestamp_ns,lever,yaw_rate,roll_angle,pitch_angle
1779769393721046776,0.0,,,
1779769393721141315,0.0,,,
1779769393721247886,0.0,,,
1779769393721356804,0.0,,,
1779769393721465525,0.0,,,
1779769393736702698,0.0,,,
1779769393786927104,0.0,,,
1779769393836659317,0.0,,,
1779769393886791338,0.0,,,
1779769393936605411,0.0,,,
1779769393986733034,0.0,,,
1779769394036621446,0.0,,,
1779769394086789359,0.0,,,
1779769394094601712,,-0.00040906154343617096,,
1779769394114260912,,-0.000545415391248228,,
1779769394134361852,,0.00040906154343617096,,
1779769394136623127,0.0,,,
1779769394154599753,,0.0,,
1779769394187050596,0.0,,,
1779769394194518389,,0.000136353847812057,,
1779769394214382571,,-0.000545415391248228,,
1779769394234467345,,-0.0008181230868723419,,
1779769394236853214,0.0,,,
1779769394254443449,,-0.000954476934684399,,
1779769394274352491,,-0.0008181230868723419,,
1779769394286668826,0.0,,,
1779769394314366790,,0.0,,
1779769394335119024,,-0.000136353847812057,,
1779769394337172970,0.0,,,
1779769394354379712,,-0.000545415391248228,,
1779769394374553151,,-0.001772600021556741,,
1779769394386787569,0.0,,,
1779769394414432657,,-0.0008181230868723419,,
1779769394434307821,,0.000136353847812057,,
1779769394436709625,0.0,,,
1779769394454289517,,0.00040906154343617096,,
1779769394474382274,,0.000545415391248228,,
1779769394486654251,0.0,,,
1779769394514360568,,0.00040906154343617096,,
1779769394534771164,,-0.00040906154343617096,,
1779769394537154074,0.0,,,
1779769394554350670,,0.001227184630308513,,
1779769394586643037,0.0,,,
1779769394594315492,,-0.00040906154343617096,,
1779769394614423491,,-0.000681769239060285,,
1779769394634601845,,-0.000136353847812057,,
1779769394636963779,0.0,,,
1779769394674459896,,-0.0008181230868723419,,
1779769394686743869,0.0,,,
1779769394714281394,,0.000136353847812057,,
1779769394734651710,,-0.00040906154343617096,,
1779769394736888623,0.0,,,
1779769394754473630,,-0.000954476934684399,,
1779769394786774793,0.0,,,
1779769394794382676,,-0.00040906154343617096,,
1779769394814421002,,-0.000545415391248228,,
1779769394834336193,,-0.000272707695624114,,
1779769394836763281,0.0,,,
1779769394854287672,,-0.000272707695624114,,
1779769394886773537,0.0,,,
1779769394894347050,,0.001090830782496456,,
1779769394914505279,,-0.000545415391248228,,
1779769394934419111,,0.0,,
1779769394937074680,0.0,,,
1779769394954378983,,-0.000681769239060285,,
1779769394974302524,,0.0,,
1779769394986616730,0.0,,,
1779769395014407840,,-0.00136353847812057,,
1779769395034648557,,-0.000272707695624114,,
1779769395037345607,0.0,,,
1779769395054647253,,-0.00136353847812057,,
1779769395074698362,,-0.000272707695624114,,
1779769395086733268,0.0,,,
1779769395114509575,,-0.000272707695624114,,
1779769395136608665,0.0,,,
1779769395154792369,,0.0,,
1779769395174497755,,0.000272707695624114,,
1779769395186813717,0.0,,,
1779769395194351803,,-0.000272707695624114,,
1779769395234305857,,0.001227184630308513,,
1779769395236832257,0.0,,,
1779769395254364702,,-0.000136353847812057,,
1779769395274251774,,-0.00040906154343617096,,
1779769395286665525,0.0,,,
1779769395314432548,,-0.000545415391248228,,
1779769395334395476,,-0.0008181230868723419,,
1779769395337083682,0.0,,,
1779769395354403613,,-0.000545415391248228,,
1779769395374426458,,0.000272707695624114,,
1779769395386675379,0.0,,,
1779769395394222703,,0.0008181230868723419,,
1779769395434435495,,-0.0008181230868723419,,
1779769395437265431,0.0,,,
1779769395474406193,,0.00040906154343617096,,
1779769395486814451,0.0,,,
1779769395514373976,,-0.0008181230868723419,,
1779769395534217824,,-0.000136353847812057,,
1779769395536577414,0.0,,,
1779769395554475664,,0.000136353847812057,,
1779769395586775453,0.0,,,
1779769395594353562,,0.000545415391248228,,
1779769395614391759,,0.001090830782496456,,
1779769395634360350,,-0.000136353847812057,,
1779769395637083733,0.0,,,
1779769395674246170,,-0.000136353847812057,,
1779769395686637943,0.0,,,
1779769395694327283,,0.000272707695624114,,
1779769395714637912,,0.000681769239060285,,
1779769395734394241,,0.000545415391248228,,
1779769395737170827,0.0,,,
1779769395754460158,,0.000545415391248228,,
1779769395774355098,,0.00040906154343617096,,
1779769395786605120,0.0,,,
1779769395794390254,,-0.001227184630308513,,
1779769395814261220,,-0.000954476934684399,,
1779769395836891367,0.0,,,
