timestamp_ns,lever,roll_angle,pitch_angle,yaw_rate,abs_yaw_rate
1779154296624887982,0.0,-2.218711823695386,0.7606436074090247,-0.00040906154343617096,0.00040906154343617096
1779154296645134358,0.0,-2.218711823695386,0.7606436074090247,0.000545415391248228,0.000545415391248228
1779154296664714895,0.5,-2.218711823695386,0.7606436074090247,0.0,0.0
1779154296705071522,0.5,-4.437423647390772,1.5212872148180494,-0.000545415391248228,0.000545415391248228
1779154296724907006,0.5,-4.356233823182611,1.728902163691477,-0.000136353847812057,0.000136353847812057
1779154296745195729,0.5,-4.356233823182611,1.728902163691477,-0.00040906154343617096,0.00040906154343617096
1779154296765129069,0.5,-4.356233823182611,1.728902163691477,0.000136353847812057,0.000136353847812057
1779154296784707055,0.5,-4.437423647390772,1.8778774472853594,-0.00040906154343617096,0.00040906154343617096
1779154296804828357,0.5,-4.437423647390772,1.8778774472853594,-0.001227184630308513,0.001227184630308513
1779154296824926738,0.5,-4.382881588126354,1.907197279925132,-0.00040906154343617096,0.00040906154343617096
1779154296865167709,0.5,-4.382881588126354,1.907197279925132,-0.000545415391248228,0.000545415391248228
1779154296884966692,0.5,-4.328339528861936,1.9365171125649048,0.000545415391248228,0.000545415391248228
1779154296904870333,0.5,-4.328339528861936,1.9365171125649048,0.001772600021556741,0.001772600021556741
1779154296924651835,0.5,-4.382881588126354,1.9962029487847892,0.002181661564992912,0.002181661564992912
1779154296965154862,0.5,-4.382881588126354,1.9962029487847892,0.000545415391248228,0.000545415391248228
1779154296984785483,0.5,-4.437423647390772,1.9365171125649048,0.0032724923474893677,0.0032724923474893677
1779154297004987847,0.5,-4.437423647390772,1.9365171125649048,-0.00040906154343617096,0.00040906154343617096
1779154297024975990,0.5,-4.382881588126354,1.907197279925132,0.003545200043113482,0.003545200043113482
1779154297044661864,0.5,-4.382881588126354,1.907197279925132,-0.00040906154343617096,0.00040906154343617096
1779154297064618883,0.5,-4.382881588126354,1.907197279925132,0.00136353847812057,0.00136353847812057
1779154297084950375,0.5,-4.382881588126354,1.963796526365953,-0.000272707695624114,0.000272707695624114
1779154297104834773,0.5,-4.382881588126354,1.963796526365953,-0.001227184630308513,0.001227184630308513
1779154297144795351,0.5,-4.326377734310935,1.9900598646798793,-0.001772600021556741,0.001772600021556741
1779154297164851711,0.5,-4.326377734310935,1.9900598646798793,0.000272707695624114,0.000272707695624114
1779154297184783096,0.5,-4.326377734310935,1.9627804508788311,-0.000954476934684399,0.000954476934684399
1779154297225006100,0.5,-4.326377734310935,1.9334606182390583,0.0,0.0
1779154297244809622,0.5,-4.326377734310935,1.9334606182390583,-0.001227184630308513,0.001227184630308513
1779154297265442976,0.5,-4.326377734310935,1.9334606182390583,0.000681769239060285,0.000681769239060285
1779154297285082148,0.5,-4.235104158944697,1.9305854306780104,-0.000136353847812057,0.000136353847812057
1779154297304605646,0.5,-4.235104158944697,1.9305854306780104,0.0,0.0
1779154297324649515,0.5,-4.235104158944697,1.9305854306780104,0.0,0.0
1779154297344908522,0.5,-4.235104158944697,1.9305854306780104,-0.001227184630308513,0.001227184630308513
1779154297364762227,0.5,-4.235104158944697,1.9305854306780104,-0.002181661564992912,0.002181661564992912
1779154297405055559,0.5,-4.235104158944697,1.8109815326485879,0.00040906154343617096,0.00040906154343617096
