time,psi_deg,target_psi_deg,angle_error_deg,omega_rad_s,u_cmd,roll_deg,pitch_deg,moment_nm,horizon,q_angle,q_terminal,q_omega,r_u,r_du,solver_success
0.0,0.04025224180227287,90.0,89.95974775819774,0.007025341507585578,0.06,2.0,2.0,-1484.0674900793394,36,8.197875665343911,128.90440494047604,0.8791502661375648,0.030742033745039667,3.296813498015868,True
0.1,0.12147914737598486,90.0,89.878520852624,0.014176769434678075,0.12,2.039999333336667,1.999951000200083,-1515.3358234550496,36,8.202044776460673,129.09201494073028,0.8808179105842694,0.030757667911727522,3.30306716469101,True
0.2,0.2444031390706599,90.0,89.75559686092934,0.021454283847662438,0.18,2.0799946667733327,1.9998040032013125,-1546.604167806019,36,8.206213889040802,129.2796250068361,0.8824855556163211,0.030773302083903005,3.309320833561204,True
0.30000000000000004,0.40974649445932215,90.0,89.59025350554067,0.02885785947827265,0.24,2.119982000809983,1.9995590162065118,-1577.8693817459057,36,8.210382584232788,129.46721629047545,0.884153033693115,0.030788934690872953,3.3155738763491813,True
0.4,0.618231201226094,90.0,89.3817687987739,0.0363874457313507,0.3,2.159957336746537,1.9992160512199948,-1609.1283246580294,36,8.214550443287738,129.65476994794818,0.8858201773150949,0.030804564162329018,3.321825664931606,True
0.5,0.8705788121209481,90.0,89.12942118787905,0.04404296669656719,0.36,2.1999166770827134,1.9987751250469772,-1640.3778570228583,36,8.218717047603048,129.84226714213716,0.8874868190412191,0.03082018892851143,3.3280755714045713,True
0.6000000000000001,1.1811289964255507,90.0,88.81887100357444,0.05420123208790532,0.42,2.2398560259177787,1.9982362592927534,-1671.6148407452417,36,8.222881978766033,130.02968904447144,0.889152791506413,0.030835807420372622,3.3343229681490483,True
0.7000000000000001,1.5775145102728403,90.0,88.42248548972715,0.06918232323844781,0.48,2.279771389350131,1.9975994803616368,-1702.836139481357,36,8.227044818597514,130.21701683688815,0.8908179274390058,0.030851418069740677,3.3405672278962717,True
0.8,2.1296208262896634,90.0,87.87037917371033,0.09636073035549872,0.54,2.319658775876691,1.9968648194556688,-1734.0386189653098,36,8.231205149195375,130.40423171379186,0.89248205967815,0.030867019309482657,3.346807723793062,True
0.9,2.87221042339019,90.0,87.1277895766098,0.12960633460462317,0.6,2.3595141967920443,1.9960323125730859,-1765.2191473353566,36,8.235362552978048,130.59131488401215,0.8941450211912191,0.030882609573667678,3.3530438294670715,True
1.0,3.770571737392469,90.0,86.22942826260753,0.15679362801882415,0.66,2.3993336665873124,1.9951020005065592,-1796.3745954596998,35,8.239516612727959,130.77824757275818,0.895806645091184,0.030898187297729845,3.35927491909194,True
1.1,4.924680789319451,90.0,85.07531921068055,0.2014300288319604,0.72,2.4391132033486995,1.9940739288411935,-1827.5018372618058,35,8.243666911634907,130.96501102357084,0.8974667646539629,0.0309137509186309,3.365500367452361,True
1.2000000000000002,6.537569044332461,90.0,83.46243095566754,0.2815021051672297,0.78,2.4788488291556776,1.9929481479522952,-1858.5977500452118,35,8.247813033339362,131.15158650027126,0.8991252133357448,0.030929298875022607,3.3717195500090424,True
1.3,8.538543543214494,90.0,81.4614564567855,0.3492359325393509,0.84,2.51853657047878,1.9917247130029019,-1889.659214817771,34,8.251954561975703,131.33795528890664,0.9007818247902812,0.030944829607408884,3.3779318429635543,True
1.4000000000000001,10.889912111853095,90.0,79.11008788814691,0.4103912345064982,0.9,2.558172458576946,1.990403683941082,-1920.6831166152942,34,8.256091082215372,131.52409869969176,0.9024364328861492,0.030960341558307642,3.384136623323059,True
1.5,13.24078883295984,90.0,76.75921116704015,0.4103053909180118,0.9,2.597752529894397,1.9889851254969948,-1951.6663448245417,33,8.260222179309938,131.70999806894724,0.9040888717239757,0.030975833172412266,3.3903332689649086,True
1.6,15.591174401518895,90.0,74.4088255984811,0.4102196686271443,0.9,2.637272826456984,1.9874691071797206,-1982.6057935055278,32,8.26434743913407,131.89563476103316,0.9057389756536282,0.030991302896752764,3.3965211587011055,True
1.7000000000000002,17.825818709286423,90.0,72.17418129071358,0.39001900781492843,0.88,2.676729396267984,1.985855703273853,-2013.49836171309,32,8.268466448228413,132.08099017027854,0.9073865792913648,0.031006749180856545,3.4026996723426177,True
1.8,20.060399616355294,90.0,69.93960038364472,0.39000794230553276,0.88,2.716118293703297,1.9841449928358614,-2044.3409538176793,31,8.272578793842357,132.26604572290606,0.909031517536943,0.031022170476908837,3.408868190763536,True
1.9000000000000001,22.29491723180933,90.0,67.70508276819068,0.3899968958348544,0.88,2.7554355799060026,1.9823370596902143,-2075.1304798253364,30,8.276684063976711,132.45078287895203,0.9106736255906847,0.031037565239912666,3.415026095965067,True
2.0,24.52937167107196,90.0,65.47062832892804,0.38998586950936553,0.88,2.7946773231802453,1.9804319924252742,-2105.8638556968,30,8.28078184742624,132.6351831341808,0.912312738970496,0.0310529319278484,3.42117277113936,True
2.1,26.76376305589334,90.0,63.23623694410665,0.3899748644332875,0.88,2.8338395993843988,1.9784298843889563,-2136.538003665717,29,8.284871733822095,132.8192280219943,0.9139486935288382,0.031068269001832856,3.427307600733143,True
2.2,28.998091514336803,90.0,61.0019084856632,0.38996388170847746,0.88,2.8729184923234774,1.9763308336841534,-2167.1498525559064,28,8.28895331367412,133.00289911533542,0.9155813254696483,0.031083574926277953,3.433429970511181,True
2.3000000000000003,31.119651763165805,90.0,58.880348236834195,0.3702821162149628,0.86,2.911910094140754,1.9741349431639303,-2197.6963380976335,28,8.293026178413017,133.1861780285858,0.9172104713652072,0.03109884816904881,3.439539267619527,True
2.4000000000000004,33.24157053750757,90.0,56.75842946249243,0.3703446907214635,0.86,2.9508105057085388,1.9718423204264832,-2228.1744032428605,27,8.29708992043238,133.36904641945716,0.9188359681729527,0.031114087201621426,3.4456348806485724,True
2.5,35.36384699663334,90.0,54.63615300336666,0.3704071184931159,0.86,2.989615837018092,1.969453077809867,-2258.580998479428,26,8.30114413313059,133.55148599087659,0.9204576532522362,0.031129290499239713,3.451716199695886,True
2.6,37.37503537211668,90.0,52.624964627883315,0.35101859030020294,0.84,3.0283222075686207,1.9669673323864922,-2288.9130821441304,26,8.305188410952551,133.73347849286478,0.9220753643810204,0.031144456541072067,3.457782616428826,True
2.7,39.38699773164647,90.0,50.61300226835353,0.35115367599988706,0.84,3.066925746755325,1.9643852059573874,-2319.167620734638,25,8.309222349431286,133.91500572440782,0.923688939772514,0.03115958381036732,3.4638335241469274,True
2.8000000000000003,41.39973201404515,90.0,48.60026798595485,0.35128840195622346,0.84,3.105422594256455,1.9617068250462308,-2349.341589220234,25,8.313245545229364,134.0960495353214,0.9252982180917458,0.031174670794610115,3.469868317844047,True
2.9000000000000004,43.41323608097223,90.0,46.58676391902777,0.351422754701739,0.84,3.143808900419342,1.9589323208931508,-2379.4319713513314,24,8.317257596180177,134.276591828108,0.926903038472071,0.031189715985675662,3.4758863942702662,True
3.0,45.42750771715683,90.0,44.57249228284317,0.3515567208095444,0.84,3.1820808266453584,1.9560618294482965,-2409.4357599677146,23,8.321258101329029,134.45661455980627,0.9285032405316115,0.031204717879983856,3.4818871519935426,True
3.1,47.33317862836481,90.0,42.66682137163519,0.3326023186005983,0.8200000000000001,3.220234545773774,1.9530954913651737,-2439.349957305484,23,8.325246660974065,134.63609974383292,0.930098664389626,0.03121967497865274,3.487869991461097,True
3.2,49.240024553894635,90.0,40.759975446105365,0.33280739728733977,0.8200000000000001,3.258266242464471,1.9500334519937557,-2469.171575302656,22,8.329222876707021,134.81502945181595,0.9316891506828084,0.03123458578765133,3.493834315060531,True
3.3000000000000003,51.03949861672209,90.0,38.96050138327791,0.3140674720057833,0.8,3.2961721135794737,1.9468758613733579,-2498.8976359033886,22,8.333186351453785,134.99338581542034,0.9332745405815142,0.03124944881795169,3.499779527180678,True
3.4000000000000004,52.84054947014046,90.0,37.15945052985954,0.3143426738800439,0.8,3.333948368563258,1.94362287422529,-2528.52517136079,21,8.337136689514772,135.17115102816476,0.9348546758059089,0.031264262585680394,3.5057050342721583,True
