time,psi_deg,target_psi_deg,angle_error_deg,omega_rad_s,u_cmd,roll_deg,pitch_deg,moment_nm,horizon,q_angle,q_terminal,q_omega,r_u,r_du,solver_success
0.0,-0.06730501658017453,-119.99999999999999,-119.93269498341981,-0.011746941424334193,-0.06,-5.0,-2.0000000000000004,3825.898764866553,37,8.51011983531554,142.9553925891993,1.004047934126216,0.031912949382433276,3.76517975297331,True
0.1,-0.2015549839560515,-119.99999999999999,-119.79844501604396,-0.023431039514040256,-0.12,-4.980000333331667,-2.0000244998999586,3810.3141654681535,37,8.508041888729087,142.8618849928089,1.003216755491635,0.03190515708273407,3.7620628330936308,True
0.2,-0.4023898060865626,-119.99999999999999,-119.59761019391344,-0.03505228898834592,-0.18,-4.960002666613334,-2.000097998399344,3794.72869301275,37,8.505963825735034,142.76837215807652,1.0023855302940134,0.03189736434650638,3.7589457386025504,True
0.30000000000000004,-0.6694494287812656,-119.99999999999999,-119.33055057121874,-0.04661069715156337,-0.24,-4.940008999595008,-2.0002204918967443,3779.1439079959846,37,8.503885854399465,142.67486344797592,1.0015543417597859,0.031889571953998,3.7558287815991966,True
0.4,-1.002373911805886,-119.99999999999999,-118.99762608819411,-0.058106283892796,-0.3,-4.920021331626732,-2.0003919743900025,3763.5613708844053,37,8.501808182784588,142.58136822530642,1.0007232731138351,0.0318817806854422,3.752712274176881,True
0.5,-1.4008035009752364,-119.99999999999999,-118.59919649902476,-0.069539081683735,-0.36,-4.900041661458643,-2.0006124374765117,3747.982641957579,37,8.499731018927678,142.48789585174546,0.999892407571071,0.03187399132097879,3.749596528391516,True
0.6000000000000001,-1.8726363058662105,-119.99999999999999,-118.12736369413378,-0.08235035964267502,-0.42,-4.880071987041111,-2.000881870353624,3732.409281150182,37,8.497654570820025,142.3944556869011,0.9990618283280098,0.031866204640575095,3.7464818562300364,True
0.7000000000000001,-2.4341903541641656,-119.99999999999999,-117.56580964583583,-0.09800967070702576,-0.48,-4.8601143053249345,-2.0012002598191816,3716.8428478940837,37,8.495579046385878,142.30105708736448,0.998231618554351,0.03185842142394704,3.7433685695788164,True
0.8,-3.1475336146814175,-119.99999999999999,-116.85246638531856,-0.12450188592937714,-0.54,-4.840170612061654,-2.001567590272166,3701.284900960427,37,8.49350465346139,142.20770940576256,0.9974018613845562,0.03185064245048021,3.7402569801920857,True
0.9,-4.043789913450576,-119.99999999999999,-115.95621008654942,-0.15642623355259808,-0.6000000000000001,-4.820242901603978,-2.0019838437134574,3685.736998301743,37,8.491431599773566,142.11442198981047,0.9965726399094263,0.03184286849915087,3.7371473996603486,True
1.0,-5.0437896058654035,-119.99999999999999,-114.95621039413459,-0.1745328715156931,-0.6600000000000001,-4.800333166706343,-2.0024489997467207,3670.2006968940937,37,8.489360092919213,142.02120418136457,0.995744037167685,0.03183510034844705,3.7340401393788185,True
1.1,-6.2715189709296535,-119.99999999999999,-113.72848102907034,-0.21427919743790608,-0.7200000000000002,-4.780443398325651,-2.0029630355794037,3654.6775525792837,37,8.487290340343904,141.9280653154757,0.9949161361375618,0.03182733877628964,3.730935510515857,True
1.2000000000000002,-7.973414959379012,-119.99999999999999,-112.02658504062097,-0.2970368852492469,-0.7800000000000002,-4.760575585422161,-2.0035259260238525,3639.1691199071433,37,8.485222549320952,141.83501471944285,0.994089019728381,0.03181958455995357,3.727833823981429,True
1.3,-10.018749813015864,-119.99999999999999,-109.98125018698413,-0.356978275017594,-0.8400000000000003,-4.74073171476061,-2.0041376434985496,3623.676951977906,37,8.483156926930388,141.74206171186745,0.9932627707721551,0.03181183847598895,3.7247353903955815,True
1.4000000000000001,-12.343329620735464,-119.99999999999999,-107.65667037926453,-0.4057157137008368,-0.9000000000000004,-4.720913770711527,-2.0047981580294594,3608.20260028469,37,8.481093680037958,141.64921560170814,0.9924374720151836,0.03180410130014234,3.7216405200569382,True
1.5,-15.051589348339819,-119.99999999999999,-104.94841065166017,-0.4726804924586079,-0.9600000000000004,-4.701123735052802,-2.0055074372515027,3592.7476145561227,37,8.47903301527415,141.55648568733676,0.99161320610966,0.03179637380727806,3.718549522911225,True
1.6,-17.88663810304305,-119.99999999999999,-102.11336189695695,-0.49480935224136463,-0.98,-4.681363586771508,-2.00626544641014,3577.313542599093,37,8.476975139013213,141.46388125559454,0.990790055605285,0.03178865677129955,3.7154627085198184,True
1.7000000000000002,-20.59348761447078,-119.99999999999999,-99.40651238552921,-0.47243436330413735,-0.96,-4.661635301866007,-2.007072148363074,3561.9019301416783,37,8.474920257352224,141.37141158085007,0.9899681029408897,0.03178095096507084,3.712380386028336,True
1.8,-23.29963362859574,-119.99999999999999,-96.70036637140424,-0.47231157986201455,-0.96,-4.641940853148352,-2.0079275035820694,3546.514320676253,37,8.472868576090168,141.2790859240575,0.9891474304360669,0.03177325716033813,3.7093028641352506,True
1.9000000000000001,-25.878530403052284,-119.99999999999999,-94.1214695969477,-0.4501023978332833,-0.94,-4.622282210046999,-2.008831470154893,3531.1522553027803,37,8.470820300707038,141.18691353181669,0.9883281202828149,0.03176557612765139,3.7062304510605557,True
2.0,-28.457040929081202,-119.99999999999999,-91.54295907091878,-0.4500349847653559,-0.94,-4.602661338409877,-2.009784003787363,3515.817272572342,37,8.46877563634298,141.09490363543406,0.9875102545371917,0.03175790863628617,3.7031634545144687,True
2.1,-30.909248115467005,-119.99999999999999,-89.09075188453299,-0.42799089343498536,-0.9199999999999999,-4.5830802003078,-2.010785057805522,3500.5109083308744,37,8.46673478777745,141.00306544998523,0.9866939151109801,0.03175025545416543,3.700102181666175,True
2.2,-33.36138416994427,-119.99999999999999,-86.63861583005571,-0.42797847857491383,-0.9199999999999999,-4.563540753838261,-2.011834583157923,3485.2346955631806,37,8.464697959408424,140.91140817337907,0.9858791837633696,0.03174261734778159,3.697046939112636,True
2.3000000000000003,-35.81344924003396,-119.99999999999999,-84.18655075996604,-0.4279660894621052,-0.9199999999999999,-4.544044952929623,-2.0129325284180353,3469.990164237191,36,8.462665355231625,140.81994098542316,0.9850661420926502,0.03173499508211859,3.693998032847438,True
2.4000000000000004,-38.140464594390245,-119.99999999999999,-81.85953540560975,-0.4061407967797968,-0.8999999999999999,-4.524594747145731,-2.014078839786759,3454.7788411485135,35,8.460637178819802,140.7286730468911,0.9842548715279208,0.03172738942057426,3.6909557682297027,True
2.5,-40.467720871640786,-119.99999999999999,-79.5322791283592,-0.40618284575728003,-0.8999999999999999,-4.5051920814909545,-2.0152734610950667,3439.602249765292,35,8.45861363330204,140.63761349859175,0.9834454533208157,0.03171980112488265,3.6879204499530585,True
2.6,-42.79521749630312,-119.99999999999999,-77.20478250369688,-0.4062247942941232,-0.8999999999999999,-4.485838896215689,-2.016516333806754,3424.4619100733726,34,8.456594921343116,140.54677146044023,0.9826379685372466,0.03171223095503668,3.6848923820146746,True
2.7,-45.12295386882327,-119.99999999999999,-74.87704613117673,-0.4062666381890585,-0.8999999999999999,-4.466537126622337,-2.0178073970213064,3409.3593384218175,33,8.45458124512291,140.4561560305309,0.9818324980491635,0.03170467966921091,3.681871867684363,True
2.8000000000000003,-47.45092936563595,-119.99999999999999,-72.54907063436404,-0.40630837325132113,-0.8999999999999999,-4.447288702871772,-2.019146587476885,3394.29604736876,32,8.452572806315835,140.36577628421256,0.9810291225263339,0.03169714802368438,3.678859209473752,True
2.9000000000000004,-49.68276615642943,-119.99999999999999,-70.31723384357056,-0.38952900366489984,-0.8799999999999999,-4.428095549790329,-2.020533839553425,3379.2735455276443,32,8.450569806070353,140.2756412731659,0.980227922428141,0.031689636772763825,3.6758547091055287,True
3.0,-51.914633740862335,-119.99999999999999,-68.08536625913766,-0.38953437816886727,-0.8799999999999999,-4.40895958667732,-2.021969085275852,3364.293337413839,31,8.448572444988512,140.18576002448302,0.9794289779954047,0.03168214666870692,3.6728586674827675,True
3.1,-54.1465320289108,-119.99999999999999,-65.85346797108919,-0.38953973696070443,-0.8799999999999999,-4.389882727113113,-2.0234522543174136,3349.3569232916616,30,8.446580923105556,140.09614153974996,0.9786323692422219,0.03167467846164583,3.669871384658332,True
