validation_scope,validation_label,model_variant,training_log_count,validation_log_count,training_prefixes,validation_prefixes,sample_count,mae,rmse,bias,r2
all_logs,all logs,Original 2 logs,2,11,lever_01-05;lever_05-10,lever_01-05;lever_05-10;0526-1220-04to10;0526-1239-01to04;0526-1248-01to04;0526-1257-04to10;0526-1313-04to10;0526-1324-01to04;0526-1332-01to04;0526-1340-04to10;0526-1354-04to10,172384.0,0.020937562257984432,0.03344115262952472,0.008302039230237018,0.9174167485191728
original_logs,original 2 logs,Original 2 logs,2,2,lever_01-05;lever_05-10,lever_01-05;lever_05-10,17091.0,0.012553549528321373,0.031007210683363325,-0.002202191729691479,0.9504894634170732
added_logs,added 9 logs,Original 2 logs,2,9,lever_01-05;lever_05-10,0526-1220-04to10;0526-1239-01to04;0526-1248-01to04;0526-1257-04to10;0526-1313-04to10;0526-1324-01to04;0526-1332-01to04;0526-1340-04to10;0526-1354-04to10,155293.0,0.021860277136070833,0.03369828691667865,0.009458097850626459,0.9107591469742395
all_logs,all logs,Original + 9 logs,11,11,lever_01-05;lever_05-10;0526-1220-04to10;0526-1239-01to04;0526-1248-01to04;0526-1257-04to10;0526-1313-04to10;0526-1324-01to04;0526-1332-01to04;0526-1340-04to10;0526-1354-04to10,lever_01-05;lever_05-10;0526-1220-04to10;0526-1239-01to04;0526-1248-01to04;0526-1257-04to10;0526-1313-04to10;0526-1324-01to04;0526-1332-01to04;0526-1340-04to10;0526-1354-04to10,172384.0,0.011087434426331786,0.02713360930068388,-0.0013597341647369956,0.9456318398514725
original_logs,original 2 logs,Original + 9 logs,11,2,lever_01-05;lever_05-10;0526-1220-04to10;0526-1239-01to04;0526-1248-01to04;0526-1257-04to10;0526-1313-04to10;0526-1324-01to04;0526-1332-01to04;0526-1340-04to10;0526-1354-04to10,lever_01-05;lever_05-10,17091.0,0.017801605929787658,0.034680222557918146,-0.0060452494133314645,0.9380650224420178
added_logs,added 9 logs,Original + 9 logs,11,9,lever_01-05;lever_05-10;0526-1220-04to10;0526-1239-01to04;0526-1248-01to04;0526-1257-04to10;0526-1313-04to10;0526-1324-01to04;0526-1332-01to04;0526-1340-04to10;0526-1354-04to10,0526-1220-04to10;0526-1239-01to04;0526-1248-01to04;0526-1257-04to10;0526-1313-04to10;0526-1324-01to04;0526-1332-01to04;0526-1340-04to10;0526-1354-04to10,155293.0,0.010348496385560057,0.026170461408351036,-0.0008440628781128199,0.9461766376143927
